geogkey	continent	country	countrycode	stateprovince	county	municipality	waterbody	islandgroup	island	standard	vetted	error	misplaced	unresolved	source	comment
"OCEAN"||||||||										||||||||	1			0		
(?)||||||||										||||||||	1			0		
(AFRICA?)||||||||	Africa									Africa||||||||	1			0		
(CENTRAL AMERICA)||||||||	North America									North America||||||||	1			0		
(EUROPE)||||||||	Europe									Europe||||||||	1			0		
(NORTH AMERICA)|(USA)||(PROB. NEW YORK)|(TOMPKINS)||||	North America	United States	US	New York	Tompkins					North America|United States|US|New York|Tompkins||||	1			0		
(OCEANICA)|CHATHAM IS.|||||||	Oceania	New Zealand	NZ					Chatham Islands		Oceania|New Zealand|NZ|||||Chatham Islands|	1			0		
(SO. AMERICA)||||||||	South America									South America||||||||	1			0		
(SOUTH AMERICA)||||||||	South America									South America||||||||	1			0		
/ASIA|PAKISTAN|||||||	Asia	Pakistan	PK							Asia|Pakistan|PK||||||	1			0		
? WEST ? AFRICA||||||||	Africa									Africa||||||||	1			0		
?|?||?|?||||										||||||||	1			0		
?|?||?|||||										||||||||	1			0		
?|?|||||||										||||||||	1			0		
?||||||||										||||||||	1			0		
?AFRICA?||||||||										||||||||	1			0		
[AFRICA]||||||||	Africa									Africa||||||||	1			0		
[AFRICA]|CAMEROON|||||||	Africa	Cameroon	CM							Africa|Cameroon|CM||||||	1			0		
[AFRICA]|CAMEROON||ADAMAWA|||||	Africa	Cameroon	CM	Adamaoua						Africa|Cameroon|CM|Adamaoua|||||	1			0		
[AFRICA]|CAMEROON||CAMEROUN ORIENTAL|||||	Africa	Cameroon	CM	Est						Africa|Cameroon|CM|Est|||||	1			0		
[AFRICA]|CAMEROON||CENTRE-SUD|||||	Africa	Cameroon	CM	Centre, Sud						Africa|Cameroon|CM|Centre, Sud|||||	1			0		
[AFRICA]|CAMEROON||LITTORAL|||||	Africa	Cameroon	CM	Littoral						Africa|Cameroon|CM|Littoral|||||	1			0		
[AFRICA]|CAMEROON||NORD|BENUE PROVINCE||||	Africa	Cameroon	CM	Nord	Bénoué					Africa|Cameroon|CM|Nord|Bénoué||||	1			0		
[AFRICA]|CAMEROON||NORTH WEST|||||	Africa	Cameroon	CM	Nord-Ouest						Africa|Cameroon|CM|Nord-Ouest|||||	1			0		
[AFRICA]|CAMEROON||NORTHERN|||||	Africa	Cameroon	CM	Nord						Africa|Cameroon|CM|Nord|||||	1			0		
[AFRICA]|CAMEROON||OUEST|||||	Africa	Cameroon	CM	Ouest						Africa|Cameroon|CM|Ouest|||||	1			0		
[AFRICA]|CAMEROON||SOUTH WEST|||||	Africa	Cameroon	CM	Sud-Ouest						Africa|Cameroon|CM|Sud-Ouest|||||	1			0		
[AFRICA]|EAST AFRICA|||||||	Africa									Africa||||||||	1		East Africa	0		
[AFRICA]|EGYPT/SUDAN|||||||	Africa	Egypt, Sudan								Africa|Egypt, Sudan|||||||	1			0		
[AFRICA]|GHANA|||||||	Africa	Ghana	GH							Africa|Ghana|GH||||||	1			0		
[AFRICA]|GHANA||CENTRAL|||||	Africa	Ghana	GH	Central						Africa|Ghana|GH|Central|||||	1			0		
[AFRICA]|GHANA||N/A|NEAR CAPE COAST||||	Africa	Ghana	GH							Africa|Ghana|GH||||||	1		near Cape Coast	0		
[AFRICA]|GHANA||NORTHERN|||||	Africa	Ghana	GH	Northern						Africa|Ghana|GH|Northern|||||	1			0		
[AFRICA]|MADAGASCAR|||||||	Africa	Madagascar	MG							Africa|Madagascar|MG||||||	1			0		
[AFRICA]|MOZAMBIQUE|||||||	Africa	Mozambique	MZ							Africa|Mozambique|MZ||||||	1			0		
[AFRICA]|MOZAMBIQUE||MANICA E SOFALA|||||	Africa	Mozambique	MZ	Manica, Sofala						Africa|Mozambique|MZ|Manica, Sofala|||||	1			0		
[AFRICA]|MOZAMBIQUE||MANICA E SOFALA|DISTRICT VILA MACHADO||||	Africa	Mozambique	MZ	Sofala	Nhamatanda	Nhamatanda				Africa|Mozambique|MZ|Sofala|Nhamatanda|Nhamatanda|||	1			0		
[AFRICA]|SWAZILAND|||||||	Africa	Swaziland	SZ							Africa|Swaziland|SZ||||||	1			0		
[AFRICA]|WEST AFRICA|||||||	Africa									Africa||||||||	1		West Africa	0		
[AFRICA]|ZAIRE|||||||	Africa	Democratic Republic of the Congo	CD							Africa|Democratic Republic of the Congo|CD||||||	1			0		
[AFRICA]|ZAIRE||CONGO|||||	Africa	Democratic Republic of the Congo	CD							Africa|Democratic Republic of the Congo|CD||||||	1			0		
[AFRICA]|ZAIRE||HAUT-ZAIRE|||||	Africa	Democratic Republic of the Congo	CD							Africa|Democratic Republic of the Congo|CD||||||	1	Haut-Zaire has been subdivided.	Haut-Zaire	0		
[AFRICA]|ZAIRE||SHABA|KATANGA DISTRICT||||	Africa	Democratic Republic of the Congo	CD							Africa|Democratic Republic of the Congo|CD||||||	1	Shaba has been subdivided.	Shaba, Katanga	0		
[AUSTRALIA]|[AUSTRALIA]|||||||	Australasia	Australia	AU							Australasia|Australia|AU||||||	1			0		
[EUROPE]||||||||	Europe									Europe||||||||	1			0		
[NO HIGHER GEOGRAPHY DATA]||||||||										||||||||	1			0		
[NORTH AMERICA]|[COSTA RICA]|||||||	North America	Costa Rica	CR							North America|Costa Rica|CR||||||	1			0		
[NORTH AMERICA]|[NICARAGUA?]|||||||	North America	Nicaragua	NI							North America|Nicaragua|NI||||||	1			0		
[NORTH AMERICA]|[USA]||[NEW YORK]|[CORTLAND]||||	North America	United States	US	New York	Cortland					North America|United States|US|New York|Cortland||||	1			0		
[NORTH AMERICA]|[USA]||[NEW YORK]|[LEWIS]||||	North America	United States	US	New York	Lewis					North America|United States|US|New York|Lewis||||	1			0		
[NORTH AMERICA]|[USA]||GEORGIA|LIBERTY||||	North America	United States	US	Georgia	Liberty					North America|United States|US|Georgia|Liberty||||	1			0		
[NORTH AMERICA]|[USA]||NEW JERSEY|MORRIS||||	North America	United States	US	New Jersey	Morris					North America|United States|US|New Jersey|Morris||||	1			0		
[PACIFIC OCEAN]|[SAMOA]|||||||	Oceania	Samoa	WS				Southern Pacific Ocean	Samoan Islands		Oceania|Samoa|WS||||Southern Pacific Ocean|Samoan Islands|	1			0		
[SOUTH AMERICA]|[VENEZUELA]|||||||	South America	Venezuela	VE							South America|Venezuela|VE||||||	1			0		
[SOUTH AMERICA]||||||||	South America									South America||||||||	1			0		
[WEST INDIES]|[TRINIDAD & TOBAGO]|||||||	North America	Trinidad and Tobago	TT							North America|Trinidad and Tobago|TT||||||	1			0		
[WEST INDIES]||||||||	North America									North America||||||||	1			0		
||||||||										||||||||	1			0		
|"CHINA"[?]|||||||	Asia	China	CN							Asia|China|CN||||||	1			0		
|"CUBA"|||||||	North America	Cuba	CU							North America|Cuba|CU||||||	1			0		
|"HOLLAND"?|||||||	Europe	Netherlands	NL							Europe|Netherlands|NL||||||	1			0		
|"JAPAN"|||||||	Asia	Japan	JP							Asia|Japan|JP||||||	1			0		
|"NORTH AFRICA"|||||||	Africa									Africa||||||||	1			0		
|"U. S, A. "||MICHIGAN|CHIPPEWA||||	North America	United States	US	Michigan	Chippewa					North America|United States|US|Michigan|Chippewa||||	1			0		
|"U. S, A. "||MICHIGAN|DELTA||||	North America	United States	US	Michigan	Delta					North America|United States|US|Michigan|Delta||||	1			0		
|"U. S, A. "||MICHIGAN|DICKINSON||||	North America	United States	US	Michigan	Dickinson					North America|United States|US|Michigan|Dickinson||||	1			0		
|"U. S, A. "||MICHIGAN|GOGEBIC||||	North America	United States	US	Michigan	Gogebic					North America|United States|US|Michigan|Gogebic||||	1			0		
|"U. S, A. "||MICHIGAN|IRON||||	North America	United States	US	Michigan	Iron					North America|United States|US|Michigan|Iron||||	1			0		
|"U. S, A. "||MICHIGAN|MARQUETTE||||	North America	United States	US	Michigan	Marquette					North America|United States|US|Michigan|Marquette||||	1			0		
|"U. S, A. "||MICHIGAN|MENOMINEE||||	North America	United States	US	Michigan	Menominee					North America|United States|US|Michigan|Menominee||||	1			0		
|"U. S, A. "||MICHIGAN|ONTONAGON||||	North America	United States	US	Michigan	Ontonagon					North America|United States|US|Michigan|Ontonagon||||	1			0		
|"WEST AFRICA"|||||||	Africa									Africa||||||||	1			0		
|& EAST. AFRICA [KENYA & TANZANIA]|||||||	Africa									Africa||||||||	1			1		
|(AFRICA)|||||||	Africa									Africa||||||||	1			0		
|(AMAZON VALLEY)|||||||	South America									South America||||||||	1			0		
|(ANTARCTIC)|||||||	Antarctica	Antarctica	AQ							Antarctica|Antarctica|AQ||||||	1			0		
|(ARGENTINE REPUBLIC)|||||||	South America	Argentina	AR							South America|Argentina|AR||||||	1			0		
|(ATLANTIC)|||||||							Atlantic Ocean			||||||Atlantic Ocean||	1			0		
|(BALI)|||||||	Asia	Indonesia	ID	Bali				Lesser Sunda Islands	Bali	Asia|Indonesia|ID|Bali||||Lesser Sunda Islands|Bali	1			0		
|(BALUCHISTAN)-PERSIA|||||||	Asia									Asia||||||||	1			0		
|(BR. GUIANA)|||||||	South America	Guyana	GY							South America|Guyana|GY||||||	1			0		
|(CANADA-MEXICO; W. INDIES)|||||||	North America									North America||||||||	1			0		
|(CENTRAL AMERICA, NORTHERN SOUTH AMERICA)||UNKNOWN|||||										||||||||	1			0		
|(CENTRAL) GUATEMALA|||||||	North America	Guatemala	GT							North America|Guatemala|GT||||||	1			0		
|(CERAM)|||||||	Asia	Indonesia	ID	Maluku				Maluku Islands	Seram	Asia|Indonesia|ID|Maluku||||Maluku Islands|Seram	1			0		
|(COSTA RICO)|||||||	North America	Costa Rica	CR							North America|Costa Rica|CR||||||	1			0		
|(EAST AFRICA?)|||||||	Africa									Africa||||||||	1			0		
|(EAST INDIES)|||||||	Asia									Asia||||||||	1			0		
|(EAST) CUBA|||||||	North America	Cuba	CU							North America|Cuba|CU||||||	1			0		
|(EAST) ECUADOR|||||||	South America	Ecuador	EC							South America|Ecuador|EC||||||	1		(East) Ecuador	0		
|(EAST) PERU|||||||	South America	Peru	PE							South America|Peru|PE||||||	1		(East) Peru	0		
|(EUROPE)|||||||	Europe									Europe||||||||	1			0		
|(FRENCH CONGO)|||||||	Africa									Africa||||||||	1			1		
|(HIGH LEBANON)|||||||	Asia	Lebanon	LB							Asia|Lebanon|LB||||||	1			0		
|(INTERIOR) AUSTRALIA|||||||	Australasia	Australia	AU							Australasia|Australia|AU||||||	1		(interior) Australia	0		
|(INTERIOR) BR. GUIANA|||||||	South America	Guyana	GY							South America|Guyana|GY||||||	1		(interior) Br. Guiana	0		
|(IRELAND?)|||||||	Europe	Ireland	IE					British Isles		Europe|Ireland|IE|||||British Isles|	1			0		
|(LAPLAND)|||||||	Europe									Europe||||||||	1			1		
|(LATIN AMERICA)|||||||										||||||||	1			0		
|(LOWER AMAZON)|||||||	South America									South America||||||||	1			0		
|(MEXICO)|||||||	North America	Mexico	MX							North America|Mexico|MX||||||	1			0		
|(MOROCCO)|||||||	Africa	Morocco	MA							Africa|Morocco|MA||||||	1			0		
|(N. BECHUANALAND)|||||||	Africa	Botswana	BW							Africa|Botswana|BW||||||	1			0		
|(N. COAST OF) GER. NEW GUINEA|||||||	Oceania	Papua New Guinea	PG					New Guinea		Oceania|Papua New Guinea|PG|||||New Guinea|	1			0		
|(N. COAST) GER. NEW GUINEA|||||||	Oceania	Papua New Guinea	PG					New Guinea		Oceania|Papua New Guinea|PG|||||New Guinea|	1			0		
|(N. MOLUCCAS)|||||||	Asia	Indonesia	ID					Maluku Islands		Asia|Indonesia|ID|||||Maluku Islands|	1		N. Moluccas	0		
|(NEAR) JOBI I.|||||||	Asia	Indonesia	ID	Papua	Kepulauan Yapen			Biak Islands	Yapen	Asia|Indonesia|ID|Papua|Kepulauan Yapen|||Biak Islands|Yapen	1		(Near) Jobi I.	0		
|(NEW GRENADA?; ECUADOR)|||||||	South America									South America||||||||	1	New Grenada could be the formerly viceroyalty of Nueva Granada, which covers more than modern Ecuador.		1		
|(NORTH)ECUADOR|||||||	South America	Ecuador	EC							South America|Ecuador|EC||||||	1		(North)Ecuador	0		
|(NORTHERN -)--> NICARAGUA|||||||	North America	Nicaragua	NI							North America|Nicaragua|NI||||||	1			0		
|(NORTHERN-)--> NICARAGUA|||||||	North America	Nicaragua	NI							North America|Nicaragua|NI||||||	1			0		
|(NORTHERN)--> NICARAGUA|||||||	North America	Nicaragua	NI							North America|Nicaragua|NI||||||	1			0		
|(PACIFIC OCEAN)|||||||							Pacific Ocean			||||||Pacific Ocean||	1			0		
|(PROBABLY FROM JAVA)|||||||	Asia	Indonesia	ID					Greater Sunda Islands	Java	Asia|Indonesia|ID|||||Greater Sunda Islands|Java	1			0		
|(S.E. OF CELEBES|||||||	Asia	Indonesia	ID					Greater Sunda Islands	Sulawesi	Asia|Indonesia|ID|||||Greater Sunda Islands|Sulawesi	1		(S.E. of Celebes	0		
|(SAN DOMINGO)|||||||	North America	Dominican Republic	DO					Greater Antilles	Hispaniola	North America|Dominican Republic|DO|||||Greater Antilles|Hispaniola	1			0		
|(SEE COMMENTS)|||||||										||||||||	1			0		
|(SINGAPORE)|||||||	Asia	Singapore	SG							Asia|Singapore|SG||||||	1			0		
|(SOUTH AMERICA)||(SOUTH AMERICA)|||||	South America									South America||||||||	1			0		
|(SOUTH AMERICA)|||||||	South America									South America||||||||	1			0		
|(SOUTH) BRAZIL|||||||	South America	Brazil	BR							South America|Brazil|BR||||||	1			0		
|(SOUTH) RUSSIA|||||||		Russia	RU							|Russia|RU||||||	1		(South)	0		
|(SOUTH)BRAZIL|||||||	South America	Brazil	BR							South America|Brazil|BR||||||	1		(South)Brazil	0		
|(SOUTHERN) DENMARK|||||||	Europe	Denmark	DK							Europe|Denmark|DK||||||	1			0		
|(ST. VINCENT, WEST INDIES?)|||||||	North America	Saint Vincent and the Grenadines	VC					Windward Islands	Saint Vincent	North America|Saint Vincent and the Grenadines|VC|||||Windward Islands|Saint Vincent	1			0		
|(TROP. AMERICA)|||||||										||||||||	1			0		
|(TURK. ORIENT)|||||||	Asia									Asia||||||||	1			0		
|(UPPER AMAZONIA)|||||||	South America									South America||||||||	1			0		
|(VENEZUELA)|||||||	South America	Venezuela	VE							South America|Venezuela|VE||||||	1			0		
|(W. OF IRELAND); [ATLANTIC OCEAN]|||||||	Europe	Ireland	IE				Northern Atlantic Ocean	British Isles		Europe|Ireland|IE||||Northern Atlantic Ocean|British Isles|	1			0		
|(WEST AFRICA)|||||||	Africa									Africa||||||||	1			0		
|(WEST) COLOMBIA|||||||	South America	Colombia	CO							South America|Colombia|CO||||||	1		(West) Colombia	0		
|(WEST) ECUADOR|||||||	South America	Ecuador	EC							South America|Ecuador|EC||||||	1		(West) Ecuador	0		
|(WEST)ECUADOR|||||||	South America	Ecuador	EC							South America|Ecuador|EC||||||	1		(West)Ecuador	0		
|(WESTERN U.S.)|||||||	North America	United States	US							North America|United States|US||||||	1			0		
